"Plot","Tea_ID","Green","Rooibos","stab","ar","rate","Angle","New distances","ALT","Soilmoist","Distance","Spiral","Vegetation","Soil"
"East Creek North",82,34.560968896229,16.8565169769989,0.589537186505594,0.226575473048912,0.048659195223344,135,9.6,16.5,39.2,0.4,9,"Sedge","Loose fibric"
"East Creek North",83,35.2187028657617,12.1444444444444,0.581725619171476,0.230887458217345,0.0266616573684053,135,0,44.4,16.4,10,10,"Sedge","Loose fibric"
"East Creek North",84,35.1434809731753,10.18698578908,0.582618990817396,0.230394317068798,0.0208454654642032,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek North",85,37.2431769395891,14.9750712250712,0.557681984090391,0.244159544782104,0.0339352589265749,180,23,22.3,42.3,0.5,11,"Moss","Dense mesic"
"East Creek North",86,40.1403294691885,12.7249637155297,0.523273996802987,0.263152753764751,0.023599729370083,180,35,41.7,6.5,12.5,12,"Moss","Moss"
"East Creek North",87,30.9312839059675,14.7579693034238,0.632645084252168,0.202779913492803,0.0464697954938761,180,50,43.3,21.4,27.5,13,"Litter","Litter"
"East Creek North",88,34.8201839977697,12.6942404329339,0.586458622354279,0.228274840460438,0.0290051351743108,225,5.75,23.2,41.1,0.75,14,"Equisetum and Pedicites","Moss"
"East Creek North",89,31.4408901251738,18.5401459854015,0.626592753857793,0.206120799870498,0.0820498157021702,225,20,31.4,28,15,15,"Moss","Moss"
"East Creek North",90,34.6997228210656,14.4159758854559,0.587889277659553,0.227485118731927,0.0358689957478357,270,24,19.9,41.2,1,16,"Dryas","Dense mesic"
"East Creek North",91,31.1213801601972,10.2585888437384,0.630387409023786,0.20402615021887,0.0249563607727604,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek North",92,39.0346133044889,14.4817518248175,0.536406017761414,0.255903878195699,0.0298033564933568,270,7.5,24.5,40.1,17.5,17,"Sedge and equisetum","Loose fibric"
"East Creek North",93,33.9737609329446,12.5037147102526,0.596511152815385,0.222725843645908,0.0294341342016003,270,0,35,42.7,30,18,"Forbs","Dense mesic"
"East Creek North",94,37.6852400711322,11.9435975609756,0.552431828133822,0.24705763087013,0.0235911272925016,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek North",95,50.6449721489299,19.5696571845368,0.398515770202732,0.332019294848092,0.0317917159385684,315,11.75,27.1,48.7,1.75,19,"Litter","Litter"
"East Creek North",96,37.6711970726607,10.7592592592593,0.552598609588352,0.24696556750723,0.0204319754199068,315,30,38.6,36.1,20,20,"Moss","Loose fibric"
"East Creek South",100,35.5672676837725,11.2249527410208,0.577585894492013,0.233172586240409,0.0234508723909438,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek South",101,40.0153092467851,14,0.52475879754412,0.262333143755646,0.0272452581209142,45,4.8,36.8,26.5,0.2,4,"Litter","Dense mesic"
"East Creek South",102,36.1605748203686,13.4625135820355,0.570539491444553,0.237062200722607,0.0299669267127997,45,0,34.3,26.1,5,5,"Litter","Dense mesic"
"East Creek South",103,35.5348258706468,NA,0.577971189184718,0.232959903570036,NA,90,25.3,34.2,33.7,0.3,6,"Dryas","Dense mesic"
"East Creek South",104,33.7458745874588,12.5927299703264,0.599217641479112,0.22123186190353,0.0300762006760756,90,32.5,16.2,7,7.5,7,"Litter","Dense mesic"
"East Creek South",105,39.4505151420543,11.2467819051122,0.531466566008856,0.258630455563111,0.0203814385676991,90,50,20,30.4,25,8,"Willow shrub","Loose fibric"
"East Creek South",106,39.0633693972179,18.2441942294159,0.536064496470096,0.256092397948507,0.0445074278287207,135,9.6,36.2,27.1,0.4,9,"Willow shrub","Dense mesic"
"East Creek South",107,37.5547341484219,15.7925925925926,0.553981779709953,0.246202057600106,0.0366315289123143,135,0,45.9,14.5,10,10,"Moss","Moss"
"East Creek South",108,39.2343459392436,NA,0.534033896208508,0.257213289292904,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek South",109,34.3670886075949,14.2522711390636,0.591839802760155,0.225304428876394,0.035758759686834,180,27,35.5,13.3,0.5,11,"Moss","Moss"
"East Creek South",110,32.8584392014519,NA,0.609757254139526,0.215413995714982,NA,180,15,46.2,8.2,12.5,12,"Moss","Dense mesic"
"East Creek South",111,39.2225741433919,13.5687453042825,0.534173703760191,0.257136115524374,0.0267897833788173,180,0,31.2,20.4,27.5,13,"Moss","Dense mesic"
"East Creek South",112,36.265335235378,12.2403776325345,0.569295305993135,0.237748991091789,0.0258316413771096,225,5.75,33.6,11.8,0.75,14,"Dryas","Dense mesic"
